wavelength,spectrum
960,2.02065E+14
961,2.18775E+14
962,2.18397E+14
963,2.37519E+14
964,2.27217E+14
965,2.40925E+14
966,2.43544E+14
967,2.52797E+14
968,3.0955E+14
969,3.28273E+14
970,3.16839E+14
971,3.41408E+14
972,3.32101E+14
973,2.99217E+14
974,2.84028E+14
975,2.86465E+14
976,2.85102E+14
977,3.07513E+14
978,3.04507E+14
979,3.09805E+14
980,3.05992E+14
981,3.4295E+14
982,3.40767E+14
983,3.35489E+14
984,3.56622E+14
985,3.46888E+14
986,3.66896E+14
987,3.66462E+14
988,3.65466E+14
989,3.69754E+14
990,3.65957E+14
991,3.72995E+14
992,3.73059E+14
993,3.69126E+14
994,3.74874E+14
995,3.75376E+14
996,3.73937E+14
997,3.70676E+14
998,3.70044E+14
999,3.69786E+14
1000,3.69527E+14
1001,3.721E+14
1002,3.67368E+14
1003,3.68302E+14
1004,3.62292E+14
1005,3.4837E+14
1006,3.58775E+14
1007,3.66415E+14
1008,3.67222E+14
1009,3.64858E+14
1010,3.64648E+14
1011,3.66217E+14
1012,3.65243E+14
1013,3.65158E+14
1014,3.65773E+14
1015,3.61538E+14
1016,3.61703E+14
1017,3.59884E+14
1018,3.62351E+14
1019,3.5444E+14
1020,3.57225E+14
1021,3.58603E+14
1022,3.54841E+14
1023,3.56089E+14
1024,3.55664E+14
1025,3.58332E+14
1026,3.58165E+14
1027,3.57287E+14
1028,3.57312E+14
1029,3.54942E+14
1030,3.56452E+14
1031,3.55631E+14
1032,3.55327E+14
1033,3.51319E+14
1034,3.5257E+14
1035,3.53952E+14
1036,3.53968E+14
1037,3.51375E+14
1038,3.50343E+14
1039,3.51792E+14
1040,3.50822E+14
1041,3.50898E+14
1042,3.50776E+14
1043,3.48555E+14
1044,3.49414E+14
1045,3.4758E+14
1046,3.41269E+14
1047,3.44755E+14
1048,3.47853E+14
1049,3.46733E+14
1050,3.45215E+14
1051,3.45015E+14
1052,3.43623E+14
1053,3.42758E+14
1054,3.42288E+14
1055,3.43144E+14
1056,3.42672E+14
1057,3.416E+14
1058,3.37732E+14
1059,3.31125E+14
1060,3.35971E+14
1061,3.32217E+14
1062,3.35669E+14
1063,3.33378E+14
1064,3.36435E+14
1065,3.35345E+14
1066,3.309E+14
1067,3.31949E+14
1068,3.29909E+14
1069,3.1805E+14
1070,3.24202E+14
1071,3.30499E+14
